[08/28 17:32:50 d2.utils.events]:  eta: 0:08:29  iter: 419  total_loss: 2.017  loss_cls: 0.8608  loss_box_reg: 0.5408  loss_mask: 0.3588  loss_rpn_cls: 0.06322  loss_rpn_loc: 0.1503  time: 0.1970  data_time: 0.0013  lr: 0.0001049  max_mem: 1980M
[08/28 17:32:54 d2.utils.events]:  eta: 0:08:24  iter: 439  total_loss: 1.934  loss_cls: 0.83  loss_box_reg: 0.5793  loss_mask: 0.3534  loss_rpn_cls: 0.06625  loss_rpn_loc: 0.1514  time: 0.1970  data_time: 0.0013  lr: 0.00010989  max_mem: 1980M
[08/28 17:32:58 d2.utils.events]:  eta: 0:08:20  iter: 459  total_loss: 2.019  loss_cls: 0.8563  loss_box_reg: 0.5802  loss_mask: 0.3737  loss_rpn_cls: 0.05441  loss_rpn_loc: 0.145  time: 0.1970  data_time: 0.0015  lr: 0.00011489  max_mem: 1980M
[08/28 17:33:02 d2.utils.events]:  eta: 0:08:17  iter: 479  total_loss: 2.013  loss_cls: 0.8335  loss_box_reg: 0.6112  loss_mask: 0.3435  loss_rpn_cls: 0.06281  loss_rpn_loc: 0.1478  time: 0.1969  data_time: 0.0016  lr: 0.00011988  max_mem: 1980M
[08/28 17:33:06 d2.utils.events]:  eta: 0:08:13  iter: 499  total_loss: 1.929  loss_cls: 0.8144  loss_box_reg: 0.5586  loss_mask: 0.3271  loss_rpn_cls: 0.05653  loss_rpn_loc: 0.1437  time: 0.1970  data_time: 0.0013  lr: 0.00012488  max_mem: 1980M
[08/28 17:33:09 d2.utils.events]:  eta: 0:08:09  iter: 519  total_loss: 1.948  loss_cls: 0.8575  loss_box_reg: 0.5151  loss_mask: 0.3278  loss_rpn_cls: 0.06289  loss_rpn_loc: 0.1472  time: 0.1969  data_time: 0.0012  lr: 0.00012987  max_mem: 1980M
[08/28 17:33:13 d2.utils.events]:  eta: 0:08:05  iter: 539  total_loss: 1.857  loss_cls: 0.7943  loss_box_reg: 0.5396  loss_mask: 0.301  loss_rpn_cls: 0.05393  loss_rpn_loc: 0.1483  time: 0.1969  data_time: 0.0013  lr: 0.00013487  max_mem: 1980M
[08/28 17:33:17 d2.utils.events]:  eta: 0:08:01  iter: 559  total_loss: 1.961  loss_cls: 0.7936  loss_box_reg: 0.5684  loss_mask: 0.3145  loss_rpn_cls: 0.05891  loss_rpn_loc: 0.1435  time: 0.1969  data_time: 0.0013  lr: 0.00013986  max_mem: 1980M
[08/28 17:33:21 d2.utils.events]:  eta: 0:07:57  iter: 579  total_loss: 1.814  loss_cls: 0.7957  loss_box_reg: 0.5193  loss_mask: 0.2852  loss_rpn_cls: 0.05625  loss_rpn_loc: 0.1473  time: 0.1969  data_time: 0.0014  lr: 0.00014486  max_mem: 1980M
[08/28 17:33:25 d2.utils.events]:  eta: 0:07:53  iter: 599  total_loss: 1.787  loss_cls: 0.7736  loss_box_reg: 0.5094  loss_mask: 0.2856  loss_rpn_cls: 0.06038  loss_rpn_loc: 0.1355  time: 0.1969  data_time: 0.0013  lr: 0.00014985  max_mem: 1980M
